currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.7,0.44341739709769296,0.4445663392543793,-0.0011489421566863167,44.34173970976929,44.456634521484375,-0.11489421566863167,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.8,0.4747037407523188,0.4759320914745331,-0.0012283507222142775,47.47037407523188,47.59320831298828,-0.12283507222142775,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.9,0.5399502158883493,0.5411303043365479,-0.001180088448198502,53.99502158883494,54.11302947998047,-0.11800884481985019,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.1,0.4067003301411052,0.4063040018081665,0.000396328332938678,40.670033014110516,40.630401611328125,0.0396328332938678,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.2,0.40652449099311894,0.4070754051208496,-0.0005509141277306728,40.652449099311895,40.707542419433594,-0.05509141277306728,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.3,0.40807847551659715,0.4085504412651062,-0.00047196574850905115,40.80784755165971,40.855045318603516,-0.047196574850905115,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.5,0.4231250220738511,0.42393895983695984,-0.0008139377631087297,42.31250220738511,42.39389419555664,-0.08139377631087297,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.7,0.4555275678815752,0.4554559588432312,7.160903834402266e-05,45.552756788157524,45.545597076416016,0.007160903834402266,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.8,0.4872192080823014,0.48753052949905396,-0.0003113214167525524,48.72192080823014,48.7530517578125,-0.031132141675255243,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.9,0.5565748418599143,0.5550006031990051,0.0015742386609092218,55.657484185991436,55.50006103515625,0.15742386609092218,0.19536191811633116
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.1,0.35070702634610107,0.35138505697250366,-0.0006780306264025926,35.07070263461011,35.13850402832031,-0.06780306264025926,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.2,0.34961225248343236,0.35124972462654114,-0.0016374721431087758,34.96122524834323,35.12497329711914,-0.16374721431087758,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.3,0.3543964060660211,0.35523495078086853,-0.0008385447148474556,35.439640606602104,35.523494720458984,-0.08385447148474556,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.5,0.37662749736322365,0.372924268245697,0.0037032291175266296,37.66274973632237,37.29242706298828,0.37032291175266296,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.7,0.4092007086284493,0.4040141701698303,0.005186538458618994,40.92007086284493,40.40141677856445,0.5186538458618994,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.8,0.4388622258300902,0.43175455927848816,0.007107666551602054,43.88622258300902,43.17545700073242,0.7107666551602054,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.9,0.4877231310178977,0.48484909534454346,0.0028740356733542582,48.77231310178977,48.48490905761719,0.2874035673354258,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,30.0,0.1,0.35593763932182965,0.35666725039482117,-0.0007296110729915206,35.593763932182966,35.666725158691406,-0.07296110729915206,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,30.0,0.2,0.355383120836283,0.35784944891929626,-0.0024663280830132805,35.5383120836283,35.78494644165039,-0.24663280830132805,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,30.0,0.3,0.36170154525290626,0.3641952574253082,-0.002493712172401963,36.17015452529063,36.419525146484375,-0.24937121724019629,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,30.0,0.5,0.3844515057639383,0.38560086488723755,-0.0011493591232992761,38.44515057639383,38.56008529663086,-0.11493591232992761,0.22170583958151716
BTC,20260703_035201,2026-07-03 03:52:01+00:00,30.0,0.7,0.41844680033299114,0.4176102876663208,0.0008365126666703415,41.84468003329911,41.76102828979492,0.08365126666703415,0.22170583958151716
