currency,horizon_hours,tenor,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,6,90.0,0.5,-0.10745468262235898,0.7061559005757002,0.6147715709130329,0.020565090560027977,20
BTC,6,90.0,0.7,-0.19167654874939824,-2.0378125921074375,-1.8427592650842413,0.15871188673861814,20
BTC,6,90.0,0.8,-0.13408533387202742,0.40276053065584705,0.23918738937538378,0.0031682970576463187,20
BTC,6,90.0,0.9,-0.34399592754787645,-1.6547832223210566,-0.9003933554272222,0.04309822820677445,20
BTC,6,120.0,0.1,-0.2657939303930239,-0.9606034345819646,-1.2258268323654333,0.07704857100501905,20
BTC,6,120.0,0.2,-0.18664758908537435,-0.1882556050904697,-0.20064832817969325,0.002231661414838104,20
BTC,6,120.0,0.3,-0.11854817404197115,-0.06253587043147893,-0.049031786032442216,0.00013354416588129414,20
BTC,6,120.0,0.5,-0.09133302957544547,0.44991965166419456,0.28724422215548573,0.004562931065162479,20
BTC,6,120.0,0.7,-0.08578136185570376,0.662830034367503,0.30660079097610676,0.0051953146906146275,20
BTC,6,120.0,0.8,-0.13591240363738885,1.1644547719002045,0.690190506012389,0.0257822893107299,20
BTC,6,120.0,0.9,-0.11347651535347816,2.039119268371797,1.148759339598433,0.06830600738310633,20
BTC,6,180.0,0.1,-0.1789391540951675,-1.4497460411532817,-0.966039142374991,0.04929066749429245,20
BTC,6,180.0,0.2,-0.11337923272951493,0.13350681315453358,0.1451145325418227,0.0011685344605697479,20
BTC,6,180.0,0.3,-0.050429171811739205,0.5841409740702855,0.6840064529548686,0.025333996758659105,20
BTC,6,180.0,0.5,-0.07811524004595687,1.762056153547798,2.0174336044387924,0.18441464777196115,20
BTC,6,180.0,0.7,-0.07797106710545326,2.2434901652176897,1.6713239171113041,0.13433752510274233,20
BTC,6,180.0,0.8,-0.0682825300291403,1.0790486325183737,1.1035388802868926,0.0633682410692129,20
BTC,6,180.0,0.9,-0.006568748830549104,-0.24523623313534992,-0.28054218935977265,0.004353404998444721,20
BTC,12,14.0,0.1,0.06904099234858972,0.3171127471840862,0.25681264504038825,0.0028593110985422054,25
BTC,12,14.0,0.2,-0.5211394419028875,-4.239312641599103,-2.7540433974434655,0.24799136126222887,25
BTC,12,14.0,0.3,-0.5379017136793869,-4.644498346940429,-2.639956851028303,0.23254982234954125,25
BTC,12,14.0,0.5,-0.33663856653791474,-4.004184829541775,-2.7511727333814093,0.24760258563194748,25
BTC,12,14.0,0.7,-0.17962720997319248,-4.719138208649413,-3.542449472952865,0.35300476890818455,25
BTC,12,14.0,0.8,-0.4086824564957372,-2.3435920249441984,-1.7400964431363874,0.11633406791436696,25
BTC,12,14.0,0.9,-0.12272402159853879,-0.37385560352969227,-0.29878983214024907,0.0038665294767286085,25
BTC,12,30.0,0.1,-0.10592634338533187,0.5832128726633167,0.6628630374548796,0.01874568642964991,25
BTC,12,30.0,0.2,-0.0627320583851769,1.9215220620449973,1.0782841591021808,0.048119493484946485,25
BTC,12,30.0,0.3,-0.04894323184637977,1.9993967755355546,1.1502260147537415,0.05439373446515572,25
BTC,12,30.0,0.5,-0.04445322274535187,0.9863020004002705,0.5252095230275369,0.011851129038206065,25
BTC,12,30.0,0.7,-0.20531388916583893,-1.8778948628913181,-1.0903014128438475,0.04914502892616179,25
BTC,12,30.0,0.8,-0.17973923545897402,-1.7045222261300048,-1.2938088703970803,0.06784248071469634,25
BTC,12,30.0,0.9,-0.03621016323424794,-1.099900299566124,-0.7354999829880813,0.02297953098793082,25
BTC,12,60.0,0.1,-0.01304572807835357,1.092792501745588,0.7932568917760334,0.026630397636394965,25
BTC,12,60.0,0.2,-0.13477808020900356,-1.0929794928156535,-0.889038416561154,0.03322305053319097,25
BTC,12,60.0,0.3,-0.09266561698925291,-0.3179215839889617,-0.26134314322798013,0.002960783317630611,25
BTC,12,60.0,0.5,-0.1375072126108732,0.1147608062648609,0.08288247873849887,0.0002985849630806614,25
BTC,12,60.0,0.7,-0.2958894867267812,-2.9289197688110042,-1.7966538216012578,0.123073405056503,25
BTC,12,60.0,0.8,-0.13014023645092718,0.4193825083163889,0.22238931550926688,0.0021456907915992085,25
BTC,12,60.0,0.9,-0.17834423624125653,-1.9286807878662942,-0.987024531228925,0.04063604696525824,25
BTC,12,90.0,0.1,-0.08928200945374953,-0.6414624251094763,-0.5059344481422046,0.011006621933859817,25
BTC,12,90.0,0.2,0.007944045386721275,0.0027841975582086425,0.0028128954154239935,3.440164302315196e-07,25
BTC,12,90.0,0.3,0.035980055821673365,1.614039703337891,1.2082680778939823,0.059685895971131386,25
BTC,12,90.0,0.5,-0.07059430996151057,1.9670076862541632,1.4750782973367036,0.0864262960798371,25
BTC,12,90.0,0.7,-0.09288768265658238,-2.1699147982740836,-1.4700994883044283,0.08589388221720473,25
BTC,12,90.0,0.8,-0.07871936809173591,-1.4103933333173109,-0.7167234827808684,0.021846528343449356,25
BTC,12,90.0,0.9,-0.16376596506055086,-1.6820424425949296,-1.1546073805373727,0.054786163945750865,25
BTC,12,120.0,0.1,0.046506256867053446,1.5135239380991234,1.1656330251630986,0.0557788523141417,25
BTC,12,120.0,0.2,0.09628972498020955,3.232077522634933,2.008023845843177,0.149161583848903,25
BTC,12,120.0,0.3,-0.028471951455306573,3.0836516616259932,2.0377972256550536,0.15293617743695476,25
BTC,12,120.0,0.5,-0.11336416125963529,4.636493294298868,2.8759486770570066,0.26449616013591637,25
BTC,12,120.0,0.7,-0.06844758017389743,2.47228292264698,0.9996528847118605,0.041638949663655334,25
BTC,12,120.0,0.8,-0.18782795915172065,5.741392383746841,2.013631702701568,0.14987084464576772,25
